doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Grant School,Enrollment,enrollment,,adopted,576.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Grant School,Enrollment,enrollment,,proposed,582.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Grantosa Drive School,School Budget,school_summary,6822649.0,adopted,57.28,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Grantosa Drive School,School Budget,school_summary,6788426.0,proposed,56.9,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Grantosa Drive School,Enrollment,enrollment,,adopted,497.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Grantosa Drive School,Enrollment,enrollment,,proposed,487.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Green Tree Prep Academy,School Budget,school_summary,6582465.0,adopted,47.85,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Green Tree Prep Academy,School Budget,school_summary,5327978.0,proposed,39.75,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Green Tree Prep Academy,Enrollment,enrollment,,adopted,468.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Green Tree Prep Academy,Enrollment,enrollment,,proposed,422.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Greenfield School,School Budget,school_summary,6722294.0,adopted,54.4,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Greenfield School,School Budget,school_summary,6993480.0,proposed,56.25,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Greenfield School,Enrollment,enrollment,,adopted,547.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Greenfield School,Enrollment,enrollment,,proposed,538.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Groppi HS,School Budget,school_summary,2408901.0,adopted,19.52,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Groppi HS,School Budget,school_summary,2393044.0,proposed,17.78,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Groppi HS,Enrollment,enrollment,,adopted,155.0,,,,,,,
